"First Anderson Bancshares, Inc.","first anderson bancshares"
"Independent Bank Group, Inc.","independent bank group"
"Anson Bancshares, Inc.","anson bancshares"
"First Baird Bancshares, Inc.","first baird bancshares"
"Texas Country Bancshares, Inc.","texas country bancshares"
"Bastrop Bancshares, Inc.","bastrop bancshares"
"First Beeville Financial Corporation","first beeville financial corporation"
"Cendera Financial Holdings, Inc.","cendera financial holdings"
"Industry Bancshares, Inc.","industry bancshares"
"Snb Financial, Inc.","snb financial"
"Blanco National Holdings, Inc.","blanco national holdings"
"Legend Bancorp, Inc.","legend bancorp"
"Commercial National Corporation","commercial national corporation"
"Brenham Bancshares, Inc.","brenham bancshares"
"Lone Star State Bancshares, Inc.","lone star state bancshares"
"First Burkburnett Bancshares, Inc.","first burkburnett bancshares"
"Cameron Financial Corporation","cameron financial corporation"
"Central Texas Financial Corp.","central texas financial corporation"
"Metroplex North Bancshares, Inc.","metroplex north bancshares"
"Childress Bancshares, Inc.","childress bancshares"
"Triple J Financial, Inc.","triple j financial"
"City National Bancshares, Inc.","city national bancshares"
"Comanche National Corporation","comanche national corporation"
"Cooper Lake Financial Corporation","cooper lake financial corporation"
"Daingerfield Holding Company","daingerfield holding company"
"F & M Bancshares, Inc.","f & m bancshares"
"Eagle Lake Bancshares, Inc.","eagle lake bancshares"
"Newfirst Financial Group, Inc.","newfirst financial group"
"First Eldorado Bancshares, Inc.","first eldorado bancshares"
"Emory Bancshares, Inc.","emory bancshares"
"First Fabens Bancorporation, Inc.","first fabens"
"Floyd County Bancshares, Inc.","floyd county bancshares"
"Texas Gulf Bancshares, Inc.","texas gulf bancshares"
"Moody Bancshares, Inc.","moody bancshares"
"National United Bancshares, Inc.","national united bancshares"
"Giddings Bancshares, Inc.","giddings bancshares"
"First Gilmer Bankshares, Inc.","first gilmer bankshares"
"Gilmer National Bancshares, Inc.","gilmer national bancshares"
"Bmc Bancshares, Inc.","bmc bancshares"
"First Graham Bancorp, Inc.","first graham bancorp"
"First Granbury Bancorporation","first granbury"
"Avest, Inc.","avest"
"Granger Bancshares, Inc.","granger bancshares"
"Groom Bancshares, Inc.","groom bancshares"
"Hamlin Financial Corporation, The","hamlin financial corporation the"
"Hebbronville Regional Bancshares, Inc.","hebbronville regional bancshares"
